tarih,hisse,kat,baseline_tl,kum_ciro_tl,tetik_bar,tetik_saat,giris,mfe_gun_kalan_%,mae_gun_kalan_%,kapanis_gun_%,mfe_5g_%,mae_5g_%,mfe_t1,mae_t1,kapanis_t1,mfe_t2,mae_t2,kapanis_t2,mfe_t3,mae_t3,kapanis_t3,mfe_t5,mae_t5,kapanis_t5
2025-03-04,A1CAP,5.23,20768666.0,108700460.0,1,2025-03-04 10:00,4.64,2.37,-3.66,-2.37,11.21,-3.66,5.17,-3.02,-2.37,2.8,-3.02,2.59,7.33,2.8,6.68,11.21,6.68,10.13
2025-05-15,A1CAP,10.94,44721098.0,489168103.0,1,2025-05-15 10:00,6.62,4.38,-4.83,-3.32,27.34,-4.83,6.34,-3.17,6.34,16.92,7.25,16.92,27.34,11.33,11.33,12.54,2.11,3.78
2025-05-21,A1CAP,5.18,127144031.0,659140561.0,2,2025-05-21 11:00,7.87,7.12,-6.35,-6.35,7.12,-21.35,-1.78,-12.2,-11.56,-5.34,-14.1,-12.71,-8.77,-15.5,-15.37,-17.66,-21.35,-17.92
2026-01-13,A1YEN,5.81,39508348.0,229657329.0,2,2026-01-13 11:00,3.102,3.43,-1.18,1.12,3.43,-8.75,0.53,-7.86,-7.03,-2.25,-8.75,-7.51,-5.2,-7.62,-6.62,-4.91,-8.69,-8.63
2024-09-06,ACSEL,6.23,17767816.0,110645852.0,1,2024-09-06 10:00,126.4,2.85,-7.12,2.85,13.13,-7.12,13.13,0.79,2.14,10.52,-3.56,2.85,8.23,-1.19,0.08,-1.11,-4.27,-2.29
2024-09-09,ACSEL,6.97,25950156.0,180748908.0,2,2024-09-09 11:00,140.4,1.85,-8.12,-8.05,1.85,-15.74,-0.5,-13.18,-7.41,-2.56,-11.04,-9.9,-6.55,-15.74,-12.39,-10.68,-14.17,-14.03
2024-12-10,ACSEL,6.28,17117770.0,107522244.0,1,2024-12-10 10:00,135.8,1.1,-7.14,-3.9,5.15,-8.39,1.62,-8.39,-6.11,-2.14,-7.66,-7.44,0.96,-7.36,-2.06,2.36,-3.46,-2.21
2025-07-18,ACSEL,5.32,16466389.0,87594008.0,1,2025-07-18 10:00,117.5,5.19,-3.32,-3.15,5.19,-7.4,0.26,-3.91,-3.15,-0.34,-4.0,-3.49,-2.89,-5.36,-5.11,-6.04,-7.4,-7.32
2026-05-05,ACSEL,6.63,39619422.0,262788856.0,3,2026-05-05 12:00,140.2,4.07,-5.28,-4.07,9.84,-7.28,-0.78,-7.28,-4.56,3.07,-4.42,-0.93,2.28,-3.42,-1.0,9.84,-3.14,9.84
2025-03-12,ADEL,5.22,94149227.0,491534938.0,3,2025-03-12 12:00,40.66,0.84,-7.28,-7.28,0.84,-25.23,-7.28,-16.53,-16.53,-12.35,-16.38,-14.71,-11.71,-17.71,-17.17,-18.59,-25.23,-25.23
2025-08-06,ADEL,6.7,92675712.0,621239450.0,2,2025-08-06 11:00,39.46,2.58,-8.72,-8.62,2.58,-8.97,0.05,-8.72,-1.17,1.06,-5.63,-4.26,0.35,-5.68,-4.05,-3.9,-8.36,-7.4
2026-04-01,ADEL,5.92,82222553.0,486921023.0,2,2026-04-01 11:00,43.02,1.26,-3.53,-3.53,17.27,-7.02,4.74,-2.32,2.7,12.92,-0.05,12.92,17.27,7.53,8.6,1.49,-7.02,-3.35
2024-09-27,ADESE,5.39,61920963.0,333586542.0,2,2024-09-27 11:00,0.432,0.0,-0.93,0.0,5.56,-12.04,5.56,-2.78,-2.31,1.39,-7.87,-6.94,-7.41,-12.04,-11.57,-9.26,-11.57,-9.26
2026-02-25,ADGYO,5.07,95379272.0,483499948.0,2,2026-02-25 11:00,51.9,1.83,-2.99,-0.87,10.79,-4.43,3.95,-3.89,2.89,10.79,2.22,3.95,3.76,-4.43,2.31,1.93,-1.73,0.29
2024-11-07,AGYO,7.14,10750302.0,76754630.0,3,2024-11-07 12:00,7.87,0.13,-4.57,0.13,14.36,-4.57,9.66,1.78,7.12,14.36,2.29,10.04,13.85,6.23,7.37,8.01,3.56,4.32
2024-11-08,AGYO,5.01,15578330.0,78097074.0,3,2024-11-08 12:00,8.45,2.13,-0.95,-0.24,6.51,-4.73,6.51,-4.73,2.49,6.04,-1.07,0.0,1.66,-4.02,-4.02,0.71,-3.67,-2.37
2026-03-04,AHSGY,5.51,45460000.0,250495719.0,3,2026-03-04 12:00,22.3,8.97,-5.47,0.0,8.97,-13.63,3.14,-5.92,-5.92,-2.33,-12.56,-11.03,-7.17,-13.63,-13.0,-8.52,-12.83,-11.7
2025-02-17,AKCNS,5.38,130944766.0,703987343.0,3,2025-02-17 12:00,188.4,2.92,0.0,0.0,2.92,-10.3,-1.49,-5.04,-2.55,-2.18,-6.05,-4.46,-3.34,-4.67,-4.56,-5.36,-7.96,-6.05
2026-01-29,AKCNS,6.13,105954576.0,649038360.0,1,2026-01-29 10:00,194.7,5.29,-2.67,-2.26,5.29,-5.96,1.75,-5.96,-0.26,2.82,-3.8,-0.1,3.54,-3.34,-1.39,1.34,-2.52,0.0
2024-12-31,AKENR,5.82,123252413.0,717317822.0,2,2024-12-31 11:00,13.75,4.29,-4.15,-4.15,7.64,-11.05,0.95,-8.29,-7.93,-4.65,-11.05,-8.36,0.8,-8.29,0.8,4.95,0.07,1.82
2025-05-06,AKENR,7.07,58621573.0,414264338.0,1,2025-05-06 10:00,11.5,2.35,-3.3,2.35,21.65,-8.87,11.3,-6.0,-5.65,3.74,-8.87,3.74,14.09,4.87,14.09,18.87,9.91,11.74
2026-05-13,AKENR,6.19,161094829.0,996823999.0,2,2026-05-13 11:00,14.08,3.55,-1.92,-1.63,6.39,-22.51,5.82,-4.83,2.13,6.39,-3.2,-3.2,-0.92,-10.58,-10.58,-12.71,-22.51,-21.59
2025-05-27,AKFIS,5.43,140207030.0,760794907.0,2,2025-05-27 11:00,21.88,6.03,-1.46,0.0,18.46,-4.57,9.14,-0.82,2.74,4.2,-2.38,-2.01,7.77,-4.57,7.77,11.43,3.93,4.11
2026-02-16,AKFIS,5.25,81261671.0,426755846.0,2,2026-02-16 11:00,27.86,0.29,-4.24,0.29,31.87,-4.24,10.27,2.3,10.27,21.25,8.76,21.25,31.87,11.84,26.35,10.77,2.37,2.37
2026-02-02,AKFYE,5.16,73526316.0,379547631.0,3,2026-02-02 12:00,20.08,2.39,-3.44,2.39,8.76,-6.37,7.07,-0.9,4.68,8.76,4.18,5.58,5.98,1.39,2.09,-3.59,-5.58,-4.33
2025-12-22,AKSUE,5.61,5318845.0,29837566.0,1,2025-12-22 10:00,20.58,0.0,-6.85,0.0,16.62,-11.32,3.01,-8.26,-8.26,0.87,-11.32,0.87,10.88,2.04,10.88,9.33,2.04,5.44
2025-12-25,AKSUE,5.54,10471368.0,58059662.0,2,2025-12-25 11:00,22.82,0.0,-1.58,0.0,15.25,-8.85,5.17,-5.78,-0.96,-1.4,-7.98,-4.91,4.56,-8.85,4.56,15.25,2.54,6.4
2024-10-30,ALCTL,5.21,53807312.0,280544074.0,2,2024-10-30 11:00,126.4,0.71,-4.35,-3.16,0.71,-10.21,-0.63,-5.7,-5.14,-1.66,-7.75,-6.41,-4.75,-10.13,-9.81,-5.62,-8.62,-7.75
2025-11-03,ALCTL,13.92,38721928.0,538988607.0,1,2025-11-03 10:00,127.0,7.01,-3.86,-2.6,7.09,-7.56,7.09,-5.67,7.09,6.22,-1.26,-1.26,1.1,-2.91,-0.39,-4.65,-7.56,-5.91
2025-09-29,ALKIM,5.86,94195442.0,551990022.0,2,2025-09-29 11:00,24.38,0.9,-11.24,-10.75,0.9,-16.41,-9.43,-13.86,-13.21,-10.25,-16.41,-10.99,-2.13,-11.24,-2.13,-8.94,-14.68,-14.52
2025-08-07,ALKLC,6.32,145011831.0,916523950.0,2,2025-08-07 11:00,77.35,1.81,-2.91,1.62,10.54,-16.68,10.54,-1.75,6.01,7.63,0.58,0.58,2.65,-9.44,-9.44,-8.02,-14.93,-10.67
2026-01-29,ALVES,5.81,406222739.0,2361806237.0,3,2026-01-29 12:00,4.62,1.3,-5.63,1.3,1.3,-17.75,-2.6,-8.66,-8.66,-10.82,-17.75,-17.75,-9.52,-15.37,-9.52,-10.17,-16.67,-15.15
2024-07-25,ANELE,6.07,13353653.0,81085500.0,1,2024-07-25 10:00,14.58,8.64,-3.98,8.64,19.48,-3.98,19.48,8.64,10.91,10.84,2.67,3.64,12.62,2.88,9.6,16.6,9.6,13.92
2024-07-26,ANELE,6.14,21361666.0,131264610.0,1,2024-07-26 10:00,16.1,8.2,-1.61,0.43,8.2,-7.02,0.37,-7.02,-6.15,1.99,-6.83,-0.75,8.07,-4.78,0.62,6.71,0.68,1.68
2024-09-30,ANELE,5.23,18312588.0,95707403.0,2,2024-09-30 11:00,14.57,1.37,-3.43,1.37,1.37,-13.59,1.3,-8.72,-8.65,-8.85,-13.59,-12.83,-7.89,-12.83,-11.46,-3.02,-11.94,-6.59
2025-07-29,ANELE,7.14,23647082.0,168914685.0,1,2025-07-29 10:00,21.32,6.38,-1.5,0.28,6.38,-8.07,0.0,-8.07,-6.66,-0.56,-7.13,-6.0,3.38,-6.8,-3.94,-0.19,-4.69,-4.41
2026-01-12,ANELE,5.64,18122519.0,102221965.0,3,2026-01-12 12:00,18.5,2.7,-5.41,-4.86,2.7,-11.3,-4.81,-9.57,-8.38,-7.03,-10.81,-10.43,-5.95,-11.3,-7.51,-6.59,-9.35,-9.35
