tarih,hafta,acilis,ovol,baseline_20g,kat,ciro_TL,grup,pos52,gun_high,kapanis,tarih_dt,hafta_etiket
2025-05-26,2025-W22,40.54,2696,8547,0.32,109295,orta,0.49,40.7,39.92,2025-05-26,2025-05-26/2025-06-01
2025-05-27,2025-W22,39.82,2685,8489,0.32,106916,orta,0.45,40.52,39.48,2025-05-27,2025-05-26/2025-06-01
2025-05-28,2025-W22,39.48,2321,8573,0.27,91633,orta,0.43,41.66,40.56,2025-05-28,2025-05-26/2025-06-01
2025-05-29,2025-W22,40.8,3864,7790,0.5,157651,orta,0.51,43.18,40.84,2025-05-29,2025-05-26/2025-06-01
2025-05-30,2025-W22,40.84,1507,7857,0.19,61545,orta,0.51,41.18,40.02,2025-05-30,2025-05-26/2025-06-01
2025-06-02,2025-W23,40.0,3662,7863,0.47,146480,orta,0.46,40.1,39.3,2025-06-02,2025-06-02/2025-06-08
2025-06-03,2025-W23,39.46,1450,7960,0.18,57217,orta,0.43,40.32,39.76,2025-06-03,2025-06-02/2025-06-08
2025-06-04,2025-W23,39.9,1117,7874,0.14,44568,orta,0.45,41.94,41.64,2025-06-04,2025-06-02/2025-06-08
2025-06-05,2025-W23,41.44,107575,7857,13.69,4457908,orta,0.55,42.66,42.04,2025-06-05,2025-06-02/2025-06-08
2025-06-10,2025-W24,42.08,3684,13103,0.28,155022,orta,0.59,43.6,43.0,2025-06-10,2025-06-09/2025-06-15
2025-06-11,2025-W24,43.04,2800,13227,0.21,120512,orta,0.65,43.3,42.62,2025-06-11,2025-06-09/2025-06-15
2025-06-12,2025-W24,42.52,752,13107,0.06,31975,orta,0.62,42.52,40.3,2025-06-12,2025-06-09/2025-06-15
2025-06-13,2025-W24,37.1,75616,12857,5.88,2805353,orta,0.28,38.98,38.72,2025-06-13,2025-06-09/2025-06-15
2025-06-16,2025-W25,38.6,4993,15528,0.32,192729,orta,0.37,39.96,39.12,2025-06-16,2025-06-16/2025-06-22
2025-06-17,2025-W25,39.3,5474,15473,0.35,215128,orta,0.42,39.7,39.04,2025-06-17,2025-06-16/2025-06-22
2025-06-18,2025-W25,39.04,3239,13106,0.25,126450,orta,0.4,39.04,38.8,2025-06-18,2025-06-16/2025-06-22
2025-06-19,2025-W25,38.7,66,12638,0.01,2554,orta,0.38,39.24,38.48,2025-06-19,2025-06-16/2025-06-22
2025-06-20,2025-W25,38.74,587,12229,0.05,22740,orta,0.38,39.24,38.44,2025-06-20,2025-06-16/2025-06-22
2025-06-23,2025-W26,38.16,995,12194,0.08,37969,orta,0.35,38.34,37.98,2025-06-23,2025-06-23/2025-06-29
2025-06-24,2025-W26,38.9,4707,11445,0.41,183102,orta,0.39,40.28,39.96,2025-06-24,2025-06-23/2025-06-29
2025-06-25,2025-W26,40.0,383,11489,0.03,15320,orta,0.46,40.92,39.52,2025-06-25,2025-06-23/2025-06-29
2025-06-26,2025-W26,39.72,702,11373,0.06,27883,orta,0.44,40.9,40.4,2025-06-26,2025-06-23/2025-06-29
2025-06-27,2025-W26,40.06,702,11274,0.06,28122,orta,0.46,40.88,40.02,2025-06-27,2025-06-23/2025-06-29
2025-06-30,2025-W27,40.0,3859,11193,0.34,154360,orta,0.46,42.48,41.76,2025-06-30,2025-06-30/2025-07-06
2025-07-01,2025-W27,41.76,3500,11193,0.31,146160,orta,0.57,44.0,43.24,2025-07-01,2025-06-30/2025-07-06
2025-07-02,2025-W27,43.24,2754,11293,0.24,119082,orta,0.66,44.3,42.04,2025-07-02,2025-06-30/2025-07-06
2025-07-03,2025-W27,42.38,5918,11247,0.53,250804,orta,0.61,44.86,43.0,2025-07-03,2025-06-30/2025-07-06
2025-07-04,2025-W27,43.0,184,11471,0.02,7912,orta,0.65,44.2,43.92,2025-07-04,2025-06-30/2025-07-06
2025-07-07,2025-W28,43.6,3510,11424,0.31,153036,orta,0.69,46.12,45.7,2025-07-07,2025-07-07/2025-07-13
2025-07-08,2025-W28,45.7,11309,6221,1.82,516821,tepe,0.82,47.9,47.2,2025-07-08,2025-07-07/2025-07-13
2025-07-09,2025-W28,47.7,7790,6602,1.18,371583,KIRILIM,0.94,51.2,50.15,2025-07-09,2025-07-07/2025-07-13
2025-07-10,2025-W28,50.25,5222,6852,0.76,262405,KIRILIM,0.95,51.6,49.42,2025-07-10,2025-07-07/2025-07-13
2025-07-11,2025-W28,49.6,4519,7075,0.64,224142,KIRILIM,0.89,54.25,53.0,2025-07-11,2025-07-07/2025-07-13
2025-07-14,2025-W29,54.2,19123,3520,5.43,1036466,KIRILIM,1.0,54.75,53.1,2025-07-14,2025-07-14/2025-07-20
2025-07-16,2025-W29,54.2,16935,4227,4.01,917877,KIRILIM,0.98,55.0,53.4,2025-07-16,2025-07-14/2025-07-20
2025-07-17,2025-W29,53.5,1450,4800,0.3,77575,tepe,0.93,54.55,53.6,2025-07-17,2025-07-14/2025-07-20
2025-07-18,2025-W29,52.85,7466,4710,1.58,394578,KIRILIM,0.9,56.1,55.5,2025-07-18,2025-07-14/2025-07-20
2025-07-21,2025-W30,55.6,6416,5080,1.26,356729,KIRILIM,0.98,56.65,56.0,2025-07-21,2025-07-21/2025-07-27
2025-07-22,2025-W30,56.1,17305,5372,3.22,970810,KIRILIM,0.98,56.75,54.1,2025-07-22,2025-07-21/2025-07-27
2025-07-23,2025-W30,54.2,6462,6187,1.04,350240,tepe,0.89,54.5,54.25,2025-07-23,2025-07-21/2025-07-27
2025-07-24,2025-W30,54.6,10196,6275,1.62,556701,tepe,0.91,56.35,56.3,2025-07-24,2025-07-21/2025-07-27
2025-07-25,2025-W30,56.3,2607,6766,0.39,146774,tepe,0.98,56.45,56.0,2025-07-25,2025-07-21/2025-07-27
2025-07-28,2025-W31,56.1,1441,6861,0.21,80840,tepe,0.97,56.5,55.05,2025-07-28,2025-07-28/2025-08-03
2025-07-29,2025-W31,55.05,1018,6898,0.15,56040,tepe,0.93,56.05,53.6,2025-07-29,2025-07-28/2025-08-03
2025-07-30,2025-W31,54.0,7099,6756,1.05,383346,tepe,0.89,55.7,55.5,2025-07-30,2025-07-28/2025-08-03
2025-07-31,2025-W31,55.8,822,6936,0.12,45867,tepe,0.96,56.0,55.1,2025-07-31,2025-07-28/2025-08-03
2025-08-01,2025-W31,55.1,213,6839,0.03,11736,tepe,0.93,56.4,55.1,2025-08-01,2025-07-28/2025-08-03
2025-08-04,2025-W32,55.45,2553,6554,0.39,141563,KIRILIM,0.95,56.95,54.2,2025-08-04,2025-08-04/2025-08-10
2025-08-05,2025-W32,55.9,25527,6672,3.83,1426959,tepe,0.96,55.9,55.0,2025-08-05,2025-08-04/2025-08-10
2025-08-06,2025-W32,54.85,11204,7773,1.44,614539,KIRILIM,0.91,58.1,57.05,2025-08-06,2025-08-04/2025-08-10
2025-08-07,2025-W32,57.1,2273,7768,0.29,129788,KIRILIM,0.96,59.25,57.15,2025-08-07,2025-08-04/2025-08-10
2025-08-08,2025-W32,57.2,1272,7492,0.17,72758,tepe,0.92,57.5,55.75,2025-08-08,2025-08-04/2025-08-10
2025-08-11,2025-W33,55.75,3036,7295,0.42,169257,tepe,0.87,57.2,56.9,2025-08-11,2025-08-11/2025-08-17
2025-08-12,2025-W33,55.9,12873,7220,1.78,719600,tepe,0.87,57.8,57.05,2025-08-12,2025-08-11/2025-08-17
2025-08-13,2025-W33,57.9,16724,6908,2.42,968319,tepe,0.95,59.2,59.2,2025-08-13,2025-08-11/2025-08-17
2025-08-14,2025-W33,60.95,33515,6897,4.86,2042739,KIRILIM,1.06,60.95,56.25,2025-08-14,2025-08-11/2025-08-17
2025-08-15,2025-W33,56.55,1092,8501,0.13,61752,tepe,0.84,56.7,54.95,2025-08-15,2025-08-11/2025-08-17
2025-08-18,2025-W34,55.0,17820,8182,2.18,980100,orta,0.79,58.4,58.0,2025-08-18,2025-08-18/2025-08-24
2025-08-19,2025-W34,58.25,13734,8752,1.57,800005,tepe,0.9,58.5,55.9,2025-08-19,2025-08-18/2025-08-24
2025-08-20,2025-W34,55.9,2176,8574,0.25,121638,tepe,0.82,57.3,56.2,2025-08-20,2025-08-18/2025-08-24
2025-08-21,2025-W34,56.4,1604,8359,0.19,90465,tepe,0.84,58.55,57.25,2025-08-21,2025-08-18/2025-08-24
2025-08-22,2025-W34,57.9,3944,7930,0.5,228357,tepe,0.89,58.0,57.05,2025-08-22,2025-08-18/2025-08-24
2025-08-25,2025-W35,56.65,20132,7997,2.52,1140477,tepe,0.85,58.8,58.15,2025-08-25,2025-08-25/2025-08-31
2025-08-26,2025-W35,58.1,1797,8931,0.2,104405,tepe,0.9,58.15,57.4,2025-08-26,2025-08-25/2025-08-31
2025-08-27,2025-W35,57.8,1440,8970,0.16,83232,tepe,0.89,58.05,57.55,2025-08-27,2025-08-25/2025-08-31
2025-08-28,2025-W35,57.55,260,8687,0.03,14963,tepe,0.88,58.35,56.9,2025-08-28,2025-08-25/2025-08-31
2025-08-29,2025-W35,56.9,1212,8659,0.14,68962,tepe,0.86,59.2,58.25,2025-08-29,2025-08-25/2025-08-31
2025-09-01,2025-W36,58.5,2568,8709,0.29,150228,KIRILIM,0.91,62.15,60.5,2025-09-01,2025-09-01/2025-09-07
2025-09-02,2025-W36,61.0,5106,8710,0.59,311466,tepe,0.96,61.5,57.0,2025-09-02,2025-09-01/2025-09-07
2025-09-03,2025-W36,57.0,1221,7689,0.16,69597,tepe,0.83,58.85,57.85,2025-09-03,2025-09-01/2025-09-07
2025-09-04,2025-W36,58.3,2003,7189,0.28,116774,tepe,0.87,61.25,61.0,2025-09-04,2025-09-01/2025-09-07
2025-09-05,2025-W36,60.9,954,7176,0.13,58098,KIRILIM,0.96,63.2,62.0,2025-09-05,2025-09-01/2025-09-07
2025-09-08,2025-W37,60.85,7134,7160,1.0,434103,tepe,0.92,62.95,60.7,2025-09-08,2025-09-08/2025-09-14
2025-09-09,2025-W37,60.8,4452,7365,0.6,270681,tepe,0.92,62.0,59.8,2025-09-09,2025-09-08/2025-09-14
2025-09-10,2025-W37,60.2,1668,6944,0.24,100413,tepe,0.9,60.5,59.55,2025-09-10,2025-09-08/2025-09-14
2025-09-11,2025-W37,59.15,2072,6191,0.33,122558,tepe,0.87,59.45,56.55,2025-09-11,2025-09-08/2025-09-14
2025-09-12,2025-W37,56.95,2698,4619,0.58,153651,orta,0.8,57.05,56.0,2025-09-12,2025-09-08/2025-09-14
2025-09-15,2025-W38,55.6,1472,4699,0.31,81843,orta,0.75,59.7,59.0,2025-09-15,2025-09-15/2025-09-21
2025-09-16,2025-W38,59.0,1258,3882,0.32,74222,tepe,0.86,62.6,61.65,2025-09-16,2025-09-15/2025-09-21
2025-09-17,2025-W38,61.65,2157,3258,0.66,132979,tepe,0.95,62.15,60.8,2025-09-17,2025-09-15/2025-09-21
2025-09-18,2025-W38,60.85,1555,3257,0.48,94621,tepe,0.92,61.75,61.05,2025-09-18,2025-09-15/2025-09-21
2025-09-19,2025-W38,61.25,916,3255,0.28,56105,tepe,0.94,61.25,59.3,2025-09-19,2025-09-15/2025-09-21
2025-09-22,2025-W39,59.9,11642,3103,3.75,697355,tepe,0.89,61.3,60.45,2025-09-22,2025-09-22/2025-09-28
2025-09-23,2025-W39,59.8,2517,2679,0.94,150516,tepe,0.89,62.8,62.8,2025-09-23,2025-09-22/2025-09-28
2025-09-24,2025-W39,65.6,61029,2715,22.48,4003502,KIRILIM,1.08,65.6,63.65,2025-09-24,2025-09-22/2025-09-28
2025-09-25,2025-W39,65.0,16430,5694,2.89,1067950,tepe,0.98,65.35,64.5,2025-09-25,2025-09-22/2025-09-28
2025-09-26,2025-W39,65.0,869,6503,0.13,56485,KIRILIM,0.98,65.7,65.0,2025-09-26,2025-09-22/2025-09-28
2025-09-29,2025-W40,65.1,1467,6486,0.23,95501,KIRILIM,0.98,66.15,65.1,2025-09-29,2025-09-29/2025-10-05
2025-09-30,2025-W40,64.2,31011,6431,4.82,1990906,KIRILIM,0.94,66.4,65.15,2025-09-30,2025-09-29/2025-10-05
2025-10-01,2025-W40,65.2,361,7726,0.05,23537,tepe,0.96,65.65,65.2,2025-10-01,2025-09-29/2025-10-05
2025-10-02,2025-W40,64.75,2492,7683,0.32,161357,tepe,0.95,66.0,65.0,2025-10-02,2025-09-29/2025-10-05
2025-10-03,2025-W40,65.0,396,7707,0.05,25740,tepe,0.96,65.2,64.7,2025-10-03,2025-09-29/2025-10-05
2025-10-06,2025-W41,64.75,1220,7679,0.16,78995,tepe,0.95,65.45,63.6,2025-10-06,2025-10-06/2025-10-12
2025-10-07,2025-W41,63.6,5511,7384,0.75,350499,tepe,0.92,64.75,63.9,2025-10-07,2025-10-06/2025-10-12
2025-10-08,2025-W41,63.7,719,7437,0.1,45800,tepe,0.92,64.85,64.25,2025-10-08,2025-10-06/2025-10-12
2025-10-09,2025-W41,64.75,255,7389,0.03,16511,KIRILIM,0.95,68.75,67.8,2025-10-09,2025-10-06/2025-10-12
2025-10-10,2025-W41,67.8,8053,7298,1.1,545993,tepe,0.97,68.7,68.7,2025-10-10,2025-10-06/2025-10-12
2025-10-13,2025-W42,68.5,4373,7566,0.58,299550,KIRILIM,0.99,70.65,69.8,2025-10-13,2025-10-13/2025-10-19
2025-10-14,2025-W42,70.0,2098,7711,0.27,146860,tepe,0.98,70.5,67.85,2025-10-14,2025-10-13/2025-10-19
2025-10-15,2025-W42,67.85,687,7753,0.09,46612,tepe,0.92,69.85,69.0,2025-10-15,2025-10-13/2025-10-19
2025-10-16,2025-W42,68.95,5370,7680,0.7,370261,KIRILIM,0.95,71.45,70.1,2025-10-16,2025-10-13/2025-10-19
2025-10-17,2025-W42,70.1,937,7870,0.12,65683,tepe,0.96,71.0,69.25,2025-10-17,2025-10-13/2025-10-19
2025-10-20,2025-W43,69.5,1809,7871,0.23,125725,KIRILIM,0.95,74.05,73.5,2025-10-20,2025-10-20/2025-10-26
2025-10-21,2025-W43,73.65,5439,7380,0.74,400582,KIRILIM,0.99,80.85,80.6,2025-10-21,2025-10-20/2025-10-26
2025-10-22,2025-W43,80.0,28453,7526,3.78,2276240,KIRILIM,0.98,81.2,75.75,2025-10-22,2025-10-20/2025-10-26
2025-10-23,2025-W43,76.75,7658,5897,1.3,587751,tepe,0.91,78.3,71.4,2025-10-23,2025-10-20/2025-10-26
2025-10-24,2025-W43,71.0,731,5458,0.13,51901,orta,0.79,74.65,71.5,2025-10-24,2025-10-20/2025-10-26
2025-10-27,2025-W44,71.1,1544,5452,0.28,109778,orta,0.79,72.3,70.65,2025-10-27,2025-10-27/2025-11-02
2025-10-28,2025-W44,70.55,56554,5455,10.37,3989884,orta,0.77,72.95,70.75,2025-10-28,2025-10-27/2025-11-02
2025-10-30,2025-W44,71.5,3330,6733,0.49,238095,orta,0.79,74.8,71.85,2025-10-30,2025-10-27/2025-11-02
2025-10-31,2025-W44,71.85,934,6881,0.14,67107,tepe,0.8,72.5,71.0,2025-10-31,2025-10-27/2025-11-02
2025-11-03,2025-W45,71.3,1343,6803,0.2,95755,orta,0.79,73.5,71.85,2025-11-03,2025-11-03/2025-11-09
2025-11-04,2025-W45,71.95,1808,6850,0.26,130085,tepe,0.8,72.1,70.0,2025-11-04,2025-11-03/2025-11-09
2025-11-05,2025-W45,69.75,1530,6880,0.22,106717,orta,0.76,70.0,68.8,2025-11-05,2025-11-03/2025-11-09
2025-11-06,2025-W45,67.3,5645,6681,0.84,379908,orta,0.7,69.8,65.8,2025-11-06,2025-11-03/2025-11-09
2025-11-07,2025-W45,64.35,16171,6927,2.33,1040603,orta,0.64,67.55,62.4,2025-11-07,2025-11-03/2025-11-09
2025-11-10,2025-W46,61.8,5379,7723,0.7,332422,orta,0.59,62.05,59.5,2025-11-10,2025-11-10/2025-11-16
2025-11-11,2025-W46,59.5,712,7589,0.09,42364,orta,0.54,59.6,57.5,2025-11-11,2025-11-10/2025-11-16
2025-11-12,2025-W46,58.0,1107,7406,0.15,64206,orta,0.5,58.55,56.4,2025-11-12,2025-11-10/2025-11-16
2025-11-13,2025-W46,56.0,775,7357,0.11,43400,orta,0.46,58.5,56.6,2025-11-13,2025-11-10/2025-11-16
2025-11-14,2025-W46,56.0,4692,7361,0.64,262752,orta,0.46,57.0,55.85,2025-11-14,2025-11-10/2025-11-16
2025-11-17,2025-W47,56.4,700,7327,0.1,39480,orta,0.47,58.5,57.7,2025-11-17,2025-11-17/2025-11-23
2025-11-18,2025-W47,58.75,2500,7315,0.34,146875,orta,0.52,59.8,57.4,2025-11-18,2025-11-17/2025-11-23
2025-11-19,2025-W47,57.4,198,7350,0.03,11365,orta,0.49,58.2,56.85,2025-11-19,2025-11-17/2025-11-23
2025-11-20,2025-W47,57.0,751,7088,0.11,42807,orta,0.48,59.25,59.15,2025-11-20,2025-11-17/2025-11-23
2025-11-21,2025-W47,59.75,5992,5703,1.05,358022,orta,0.54,61.95,58.7,2025-11-21,2025-11-17/2025-11-23
2025-11-24,2025-W48,58.65,2509,5619,0.45,147152,orta,0.52,61.2,60.2,2025-11-24,2025-11-24/2025-11-30
2025-11-25,2025-W48,60.2,3367,5708,0.59,202693,orta,0.55,65.45,63.85,2025-11-25,2025-11-24/2025-11-30
2025-11-26,2025-W48,64.65,7413,5799,1.28,479250,orta,0.65,64.75,59.0,2025-11-26,2025-11-24/2025-11-30
2025-11-27,2025-W48,59.3,247,3342,0.07,14647,orta,0.53,61.5,59.25,2025-11-27,2025-11-24/2025-11-30
2025-11-28,2025-W48,59.25,332,3188,0.1,19671,orta,0.53,60.1,56.85,2025-11-28,2025-11-24/2025-11-30
2025-12-01,2025-W49,57.0,4886,3158,1.55,278502,orta,0.48,57.9,56.7,2025-12-01,2025-12-01/2025-12-07
2025-12-02,2025-W49,56.8,1554,3335,0.47,88267,orta,0.48,57.2,55.25,2025-12-02,2025-12-01/2025-12-07
2025-12-03,2025-W49,55.1,10132,3323,3.05,558273,orta,0.44,60.2,59.0,2025-12-03,2025-12-01/2025-12-07
2025-12-04,2025-W49,59.05,3002,3753,0.8,177268,orta,0.53,60.7,56.6,2025-12-04,2025-12-01/2025-12-07
2025-12-05,2025-W49,56.95,791,3620,0.22,45047,orta,0.48,57.3,56.6,2025-12-05,2025-12-01/2025-12-07
2025-12-08,2025-W50,56.6,2901,2851,1.02,164196,orta,0.47,59.5,59.05,2025-12-08,2025-12-08/2025-12-14
2025-12-09,2025-W50,59.05,235,2728,0.09,13876,orta,0.53,60.8,59.75,2025-12-09,2025-12-08/2025-12-14
2025-12-10,2025-W50,60.0,1038,2704,0.38,62280,orta,0.55,60.05,58.2,2025-12-10,2025-12-08/2025-12-14
2025-12-11,2025-W50,58.8,1898,2700,0.7,111602,orta,0.52,63.2,60.95,2025-12-11,2025-12-08/2025-12-14
2025-12-12,2025-W50,61.1,6986,2756,2.53,426844,orta,0.57,62.2,60.3,2025-12-12,2025-12-08/2025-12-14
2025-12-15,2025-W51,60.0,17994,2871,6.27,1079640,orta,0.55,64.0,62.5,2025-12-15,2025-12-15/2025-12-21
2025-12-16,2025-W51,62.5,2182,3736,0.58,136375,orta,0.6,65.4,64.85,2025-12-16,2025-12-15/2025-12-21
2025-12-17,2025-W51,64.85,6768,3720,1.82,438904,orta,0.65,65.75,64.85,2025-12-17,2025-12-15/2025-12-21
2025-12-18,2025-W51,65.55,27341,4048,6.75,1792202,orta,0.67,65.55,65.4,2025-12-18,2025-12-15/2025-12-21
2025-12-19,2025-W51,65.4,1365,5378,0.25,89271,orta,0.66,67.85,65.45,2025-12-19,2025-12-15/2025-12-21
2025-12-22,2025-W52,65.55,2311,5147,0.45,151486,orta,0.67,67.85,67.0,2025-12-22,2025-12-22/2025-12-28
2025-12-23,2025-W52,67.0,7165,5137,1.39,480055,orta,0.7,70.0,69.8,2025-12-23,2025-12-22/2025-12-28
2025-12-24,2025-W52,69.0,4392,5327,0.82,303048,orta,0.74,70.4,69.15,2025-12-24,2025-12-22/2025-12-28
2025-12-25,2025-W52,69.25,991,5176,0.19,68626,orta,0.74,69.8,69.15,2025-12-25,2025-12-22/2025-12-28
2025-12-26,2025-W52,69.4,2082,5213,0.4,144490,orta,0.75,71.85,71.35,2025-12-26,2025-12-22/2025-12-28
2025-12-29,2026-W01,71.55,5307,5300,1.0,379715,orta,0.79,71.95,70.0,2025-12-29,2025-12-29/2026-01-04
2025-12-30,2026-W01,69.95,2967,5321,0.56,207541,orta,0.76,70.1,68.25,2025-12-30,2025-12-29/2026-01-04
2025-12-31,2026-W01,68.55,501,5392,0.09,34343,orta,0.73,70.2,69.1,2025-12-31,2025-12-29/2026-01-04
2026-01-02,2026-W01,69.2,942,4910,0.19,65186,orta,0.74,70.25,67.65,2026-01-02,2025-12-29/2026-01-04
2026-01-05,2026-W02,67.85,4009,4807,0.83,272010,orta,0.71,70.85,70.85,2026-01-05,2026-01-05/2026-01-11
2026-01-06,2026-W02,70.85,7221,4968,1.45,511607,orta,0.78,71.5,70.0,2026-01-06,2026-01-05/2026-01-11
2026-01-07,2026-W02,70.35,3654,5184,0.7,257058,orta,0.77,71.9,71.0,2026-01-07,2026-01-05/2026-01-11
2026-01-08,2026-W02,71.0,2896,5355,0.54,205616,orta,0.78,71.55,71.2,2026-01-08,2026-01-05/2026-01-11
2026-01-09,2026-W02,71.45,14759,5448,2.71,1054530,orta,0.79,74.8,74.0,2026-01-09,2026-01-05/2026-01-11
2026-01-12,2026-W03,74.15,12027,6091,1.97,891802,tepe,0.85,74.5,74.05,2026-01-12,2026-01-12/2026-01-18
2026-01-13,2026-W03,74.15,2150,6343,0.34,159422,tepe,0.85,74.6,74.1,2026-01-13,2026-01-12/2026-01-18
2026-01-14,2026-W03,74.1,4934,5551,0.89,365609,tepe,0.85,74.35,73.55,2026-01-14,2026-01-12/2026-01-18
2026-01-15,2026-W03,73.8,3569,5689,0.63,263392,tepe,0.84,74.25,73.75,2026-01-15,2026-01-12/2026-01-18
2026-01-16,2026-W03,73.75,4000,5529,0.72,295000,tepe,0.84,76.6,76.6,2026-01-16,2026-01-12/2026-01-18
2026-01-19,2026-W04,76.6,7485,4362,1.72,573351,tepe,0.9,76.75,75.9,2026-01-19,2026-01-19/2026-01-25
2026-01-20,2026-W04,75.9,1300,4668,0.28,98670,tepe,0.89,77.15,76.25,2026-01-20,2026-01-19/2026-01-25
2026-01-21,2026-W04,76.35,1062,4617,0.23,81083,tepe,0.9,76.5,75.6,2026-01-21,2026-01-19/2026-01-25
2026-01-22,2026-W04,75.35,3878,4312,0.9,292207,tepe,0.87,76.15,75.0,2026-01-22,2026-01-19/2026-01-25
2026-01-23,2026-W04,74.7,10816,4286,2.52,807955,tepe,0.86,75.35,72.35,2026-01-23,2026-01-19/2026-01-25
2026-01-26,2026-W05,72.35,6744,4777,1.41,487928,tepe,0.81,74.15,73.75,2026-01-26,2026-01-26/2026-02-01
2026-01-27,2026-W05,73.25,12926,5011,2.58,946829,tepe,0.83,73.95,73.3,2026-01-27,2026-01-26/2026-02-01
2026-01-28,2026-W05,73.3,1870,5392,0.35,137071,tepe,0.83,73.65,71.45,2026-01-28,2026-01-26/2026-02-01
2026-01-29,2026-W05,71.45,6115,5337,1.15,436916,orta,0.79,72.55,71.05,2026-01-29,2026-01-26/2026-02-01
2026-01-30,2026-W05,71.7,6853,5617,1.22,491360,orta,0.8,75.75,74.5,2026-01-30,2026-01-26/2026-02-01
2026-02-02,2026-W06,74.45,8445,5913,1.43,628730,tepe,0.86,74.45,72.0,2026-02-02,2026-02-02/2026-02-08
2026-02-03,2026-W06,72.3,557,6135,0.09,40271,tepe,0.81,72.45,70.0,2026-02-03,2026-02-02/2026-02-08
2026-02-04,2026-W06,70.25,2189,5802,0.38,153777,orta,0.77,72.55,71.95,2026-02-04,2026-02-02/2026-02-08
2026-02-05,2026-W06,72.0,2098,5728,0.37,151056,tepe,0.8,72.2,70.45,2026-02-05,2026-02-02/2026-02-08
2026-02-06,2026-W06,70.5,4717,5688,0.83,332548,orta,0.77,71.25,70.2,2026-02-06,2026-02-02/2026-02-08
2026-02-09,2026-W07,71.2,11001,5186,2.12,783271,orta,0.79,75.0,74.45,2026-02-09,2026-02-09/2026-02-15
2026-02-10,2026-W07,74.9,19723,5135,3.84,1477252,tepe,0.87,75.3,74.65,2026-02-10,2026-02-09/2026-02-15
2026-02-11,2026-W07,74.65,1604,6014,0.27,119738,tepe,0.86,77.4,75.3,2026-02-11,2026-02-09/2026-02-15
2026-02-12,2026-W07,75.3,7524,5847,1.29,566557,tepe,0.87,75.7,74.05,2026-02-12,2026-02-09/2026-02-15
2026-02-13,2026-W07,74.85,1928,6045,0.32,144310,tepe,0.86,75.2,74.15,2026-02-13,2026-02-09/2026-02-15
2026-02-16,2026-W08,74.25,5772,5941,0.97,428571,tepe,0.85,74.9,74.0,2026-02-16,2026-02-16/2026-02-22
2026-02-17,2026-W08,74.0,4893,5856,0.84,362082,tepe,0.85,75.6,72.9,2026-02-17,2026-02-16/2026-02-22
2026-02-18,2026-W08,73.1,2604,6035,0.43,190352,tepe,0.83,73.35,71.35,2026-02-18,2026-02-16/2026-02-22
2026-02-19,2026-W08,71.3,3931,6112,0.64,280280,orta,0.79,71.3,68.95,2026-02-19,2026-02-16/2026-02-22
2026-02-20,2026-W08,68.95,1106,6115,0.18,76258,orta,0.74,71.45,70.0,2026-02-20,2026-02-16/2026-02-22
2026-02-23,2026-W09,70.1,2061,5630,0.37,144476,orta,0.76,71.2,68.3,2026-02-23,2026-02-23/2026-03-01
2026-02-24,2026-W09,67.9,12111,5395,2.24,822336,orta,0.72,68.7,67.9,2026-02-24,2026-02-23/2026-03-01
2026-02-25,2026-W09,67.9,4011,5355,0.75,272346,orta,0.72,68.25,66.0,2026-02-25,2026-02-23/2026-03-01
2026-02-26,2026-W09,66.3,1080,5462,0.2,71604,orta,0.68,66.35,64.95,2026-02-26,2026-02-23/2026-03-01
2026-02-27,2026-W09,65.0,3217,5210,0.62,209105,orta,0.65,65.8,64.0,2026-02-27,2026-02-23/2026-03-01
2026-03-02,2026-W10,59.2,49733,5028,9.89,2944193,orta,0.53,64.85,64.3,2026-03-02,2026-03-02/2026-03-08
2026-03-03,2026-W10,64.3,3391,7093,0.48,218041,orta,0.64,67.95,65.15,2026-03-03,2026-03-02/2026-03-08
2026-03-04,2026-W10,66.0,1500,7234,0.21,99000,orta,0.67,66.65,65.35,2026-03-04,2026-03-02/2026-03-08
2026-03-05,2026-W10,65.35,1930,7200,0.27,126125,orta,0.66,69.25,68.3,2026-03-05,2026-03-02/2026-03-08
2026-03-06,2026-W10,70.95,9433,7191,1.31,669271,orta,0.78,70.95,67.95,2026-03-06,2026-03-02/2026-03-08
2026-03-09,2026-W11,67.65,6189,7427,0.83,418685,orta,0.71,67.65,63.6,2026-03-09,2026-03-09/2026-03-15
2026-03-10,2026-W11,64.1,4943,7187,0.69,316846,orta,0.63,66.6,65.6,2026-03-10,2026-03-09/2026-03-15
2026-03-11,2026-W11,65.0,9472,6448,1.47,615680,orta,0.65,65.0,64.0,2026-03-11,2026-03-09/2026-03-15
2026-03-12,2026-W11,64.0,488,6841,0.07,31232,orta,0.62,65.3,63.4,2026-03-12,2026-03-09/2026-03-15
2026-03-13,2026-W11,63.4,1281,6489,0.2,81215,orta,0.61,64.1,62.7,2026-03-13,2026-03-09/2026-03-15
2026-03-16,2026-W12,62.7,7433,6457,1.15,466049,orta,0.6,63.25,61.2,2026-03-16,2026-03-16/2026-03-22
2026-03-17,2026-W12,62.0,683,6540,0.1,42346,orta,0.58,62.25,61.25,2026-03-17,2026-03-16/2026-03-22
2026-03-18,2026-W12,61.6,504,6329,0.08,31046,orta,0.57,62.35,61.4,2026-03-18,2026-03-16/2026-03-22
